method,dataset,metric,value
PI-NPZ,baseline,Computational Time (s),1.1251885890960693
PI-NPZ,baseline,Computational Time (s),0.9870123863220215
PI-NPZ,baseline,Computational Time (s),1.0889334678649902
PI-NPZ,baseline,Computational Time (s),1.0494215488433838
PI-NPZ,baseline,Computational Time (s),1.2184209823608398
PI-NPZ,baseline,Computational Time (s),1.0744495391845703
PI-NPZ,baseline,Computational Time (s),1.122737169265747
PI-NPZ,baseline,Computational Time (s),1.2121670246124268
PI-NPZ,baseline,Computational Time (s),1.1635394096374512
PI-NPZ,baseline,Computational Time (s),1.0616023540496826
PI-NPZ,baseline,Computational Time (s),1.1980254650115967
PI-NPZ,baseline,Computational Time (s),1.563338041305542
PI-NPZ,baseline,Computational Time (s),1.0391969680786133
PI-NPZ,baseline,Computational Time (s),1.0302529335021973
PI-NPZ,baseline,Computational Time (s),1.456376552581787
PI-NPZ,baseline,Computational Time (s),1.0825161933898926
PI-NPZ,baseline,Computational Time (s),1.5244770050048828
PI-NPZ,baseline,Computational Time (s),1.234266757965088
PI-NPZ,baseline,Computational Time (s),1.3022992610931396
PI-NPZ,baseline,Computational Time (s),1.1028106212615967
PI-NPZ,baseline,Computational Time (s),1.0426950454711914
PI-NPZ,baseline,Computational Time (s),1.206155776977539
PI-NPZ,baseline,Computational Time (s),1.147127628326416
PI-NPZ,baseline,Computational Time (s),1.1265437602996826
PI-NPZ,baseline,Computational Time (s),1.081479787826538
PI-NPZ,baseline,Computational Time (s),1.1020753383636475
PI-NPZ,baseline,Computational Time (s),1.1458466053009033
PI-NPZ,baseline,Computational Time (s),1.367400884628296
PI-NPZ,baseline,Computational Time (s),1.1073079109191895
PI-NPZ,baseline,Computational Time (s),1.594111680984497
PI-NPZ,baseline,Computational Time (s),1.113208293914795
PI-NPZ,baseline,Computational Time (s),1.4284093379974365
PI-NPZ,baseline,Computational Time (s),1.1563405990600586
PI-NPZ,baseline,Computational Time (s),1.010772943496704
PI-NPZ,baseline,Computational Time (s),1.2058045864105225
PI-NPZ,baseline,Computational Time (s),1.0387580394744873
PI-NPZ,baseline,Computational Time (s),1.2429697513580322
PI-NPZ,baseline,Computational Time (s),1.1336534023284912
PI-NPZ,baseline,Computational Time (s),1.479811668395996
PI-NPZ,baseline,Computational Time (s),1.1645913124084473
PI-NPZ,baseline,Computational Time (s),1.4018151760101318
PI-NPZ,baseline,Computational Time (s),1.3988125324249268
PI-NPZ,baseline,Computational Time (s),1.1543991565704346
PI-NPZ,baseline,Computational Time (s),1.6727616786956787
PI-NPZ,baseline,Computational Time (s),1.3501694202423096
PI-NPZ,baseline,Computational Time (s),1.3694393634796143
PI-NPZ,baseline,Computational Time (s),1.1010923385620117
PI-NPZ,baseline,Computational Time (s),1.1474084854125977
PI-NPZ,baseline,Computational Time (s),1.048868179321289
PI-NPZ,baseline,Computational Time (s),1.0724546909332275
PI-NPZ,baseline,Computational Time (s),1.2384998798370361
PI-NPZ,baseline,Computational Time (s),1.4230027198791504
PI-NPZ,baseline,Computational Time (s),1.492858648300171
PI-NPZ,baseline,Computational Time (s),1.2558479309082031
PI-NPZ,baseline,Computational Time (s),1.076338291168213
PI-NPZ,baseline,Computational Time (s),1.1535923480987549
PI-NPZ,baseline,Computational Time (s),1.014540195465088
PI-NPZ,baseline,Computational Time (s),1.2333881855010986
PI-NPZ,baseline,Computational Time (s),1.3475277423858643
PI-NPZ,baseline,Computational Time (s),1.1584956645965576
PI-NPZ,baseline,Computational Time (s),1.0881657600402832
PI-NPZ,baseline,Computational Time (s),1.1257472038269043
PI-NPZ,baseline,Computational Time (s),1.2287967205047607
PI-NPZ,baseline,Computational Time (s),1.0288679599761963
PI-NPZ,baseline,Computational Time (s),0.9973511695861816
PI-NPZ,baseline,Computational Time (s),1.0958733558654785
PI-NPZ,baseline,Computational Time (s),1.2753489017486572
PI-NPZ,baseline,Computational Time (s),1.4510283470153809
PI-NPZ,baseline,Computational Time (s),1.051037311553955
PI-NPZ,baseline,Computational Time (s),1.0164072513580322
PI-NPZ,baseline,Computational Time (s),1.1701087951660156
PI-NPZ,baseline,Computational Time (s),1.0079751014709473
PI-NPZ,baseline,Computational Time (s),1.75205659866333
PI-NPZ,baseline,Computational Time (s),1.161390781402588
PI-NPZ,baseline,Computational Time (s),0.9463179111480713
PI-NPZ,baseline,Computational Time (s),1.089285135269165
PI-NPZ,baseline,Computational Time (s),1.0791544914245605
PI-NPZ,baseline,Computational Time (s),1.3959641456604004
PI-NPZ,baseline,Computational Time (s),1.07843017578125
PI-NPZ,baseline,Computational Time (s),1.2607133388519287
